序号	类型	标题	第一作者	来源	日期	链接	来源链接	所有作者	摘要	关键词	DOI	导师
2490	期刊	刘家峡水库浮游植物群落结构与环境因子的关系	杜岩岩	水生生物学报	2021-11-15	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliXKZVzr2WAmo5OeGWgcbNfrYq-tiic7yGHkLTbGf-ijy32gfBC0YWKAB8lh8CqBEK0isninr7phGpHCTmj5h1Dg9z93aJuQCwCgTxrNrCSdUU47L7eSfGP5Cy7JSGk4AvMAn-UrB4jR_3Rei8I3MK2LWmbD8LH2HoVAeBRgE5kFIGf0R-9Ks3Z7&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehaOgI3tlOhwqe6MZG8NT8IJMNp5Z-zpWxM2fwK1w4sSPgttT2AHIZjZMaXjH4F5rzHC-BwT-u0t8SfmtYwlrDeH7Iei4MMhzqg=&uniplatform=NZKPT	杜岩岩、廖传松、杨濯羽、娄忠玉、张艳萍、王宏、王太				
2491	期刊	黄洲河流域浮游植物的季节变化及其环境影响因子	邢锴	水生态学杂志	2021-11-15	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliXKZVzr2WAmo5OeGWgcbNfrYq-tiic7yGEyXg9glZeJ413xhaWElNJoFnf2N3bkWpGoGaLczX5zpf1VwwChmk3UqTgjNIIPXzOp-aSwxUbsZnRmIhDjWicpqHuWjtj83Y05mlo0UrTACJhXNkEGwLInll_F0OS1CAHMkswxs5fkA7EjBzF16vb1&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehaOgI3tlOhwqe6MZG8NT8IJMNp5Z-zpWxM2fwK1w4sSPgttT2AHIZjZuqaE4zR5hx6y3atW_SdP2ctFBvtm2ryyIkVCFXNIbAU=&uniplatform=NZKPT	邢锴、张尘月、任晓冬				
2492	期刊	南海溶解有机碳生产的定量评估	马文涛	中国科学:地球科学	2021-11-12 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliX84iNipey1-NsN86yIZjbqK2RZY6ORVmbvevZKoUfdUgKLF2wM9Jh2kQN9t7adWZ18lKy1q2MVf5Bmrl3izmOmNZ3ZMvX6yBcPhZlO2urxq5rQ6OkFXDuquFkjh4jHAMhTlXX1e-wGjWq1Q-nFpuMHqBHm3v5sboGEfp8Wqrp0t-MyslL_hRvH&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehZW7AZZ7m-BjK_-mdQ8Dhfk5O-2gKnJ_4WLOnInK7YrEL_sqwie1rkCmCPuo11GVnJ_gFAydZuWMNPOU0S_-nId7LDhRJKxoPk=&uniplatform=NZKPT	马文涛、修鹏、于溢、郑一灵、柴扉				
2493	期刊	鄱阳湖流域柘林水库秋季浮游植物群落结构及其构建过程驱动机制	陈康	湖泊科学	2021-11-09 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliX84iNipey1-NsN86yIZjbqK2RZY6ORVmbtFK-cuYZDnxJ9K3iH5YQlF1O7dIZM25bKm5zRAggTcUMPCiHy96thaVz5It1GaWPuv4t1qa2-izPPdor2w1oNxMHEEcUcl9yfM9wtD0IUTNwkXdRyvHvok6Wk9pQUAyvkpR1NdiYolwtTYLuYNz9L&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehZW7AZZ7m-BjK_-mdQ8Dhfk5O-2gKnJ_4WLOnInK7YrEL_sqwie1rkC-xU9-T-YbNqW80QbLPbLQ75MHaj_pzUHKZS--XxwUUo=&uniplatform=NZKPT	陈康、孟子豪、李学梅、朱挺兵、胡飞飞、刘璐、朱永久、范春林、杨德国				
2494	期刊	江库连通条件下珠海市饮用水源水质分布特征及水资源调配措施	谢琼	环境工程技术学报	2021-11-08 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliUOgptdrKa5BlfUqtP-yaLgBV_OZNezQaJL164TF3EopVT4UJEf6iOYSTBWBDxffuUHDh-fWjwjTrxELzxnOo5ruTF-pMVIwg-2E8eSD7jQAwflFQ651t9Le-ByTFP9Ntj6w_l8SImJrYrCEh1lB1o2Cvztzrrr1iTsdMdMa_1M2G4bWfM7ObKA&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehZ-T4-TX4SxHQiYq8Xc3PqU25YUKPDKnHu9prKk3y77-7QKaljl4x_M5HecTMscIJYGMFQwkeN5rMT1cRNWrfsQhDipjlUH5nA=&uniplatform=NZKPT	谢琼、付青、昌盛、樊月婷、涂响、王山军				
2495	期刊	潮白河浮游植物现状及水质分析	黄玉霞	北京水务	2021-10-30	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliUOgptdrKa5BlfUqtP-yaLgBV_OZNezQaJA3rQ2iT-pWlu1_E5d6UF1Q5L-Viz3RbiorBFtVU5ZdX_V-YSugHpSDV4IxHpSfqnkZQQk7uiZ6PuUx1C6BBZjwKE8i2IlhQuaA0mVoKe4vJdnJxyvKzVdfUSRNctldMLAA-AW3z92xFjltTZcOIT_&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehZ-T4-TX4SxHQiYq8Xc3PqU25YUKPDKnHu9prKk3y77-7QKaljl4x_MFAW-tw0Rh2z-BO5FJtq_6dejjU4DlzHu4wHuzzrsKVU=&uniplatform=NZKPT	黄玉霞、刘阳春、刘芳、王东霞、周鑫				
2496	期刊	南亚热带特大型水库浮游植物群落特征及其与环境因子的关系：以新丰江水库为例	张辉	湖泊科学	2021-10-28 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliVZCRmJymhYLx6uLdV081sMxs_ONkPHyHPKPC6EF_XUe2d_Dc6gKnpa2pM2yTR7ifl_DX1mX6zBa2OlEaWHB4IKy8jr2g6YsoJkKXJFobGyMwV9VW-8WB8ReM_EpbvrkV0Y3EbyguJ6nTmKKJ1wnQgSji2E3VIZECBWlQaGWOp8BI9nNx62U8EK&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehZuJNIutj8Wy4SjtRQoe0jBqVzqfgQjdcMcDRA4Xa2wYRSj6qIFzFw4cMA9NWFn6MppCc7nyjtxTIe8OoIrnXOQbCHF_2VyhUY=&uniplatform=NZKPT	张辉、彭宇琼、邹贤妮、张婷婷、巫楚、乔永民、杨洪允				
2497	期刊	海洋透光率仪的设计及其在初级生产力研究中的应用	许占堂	热带海洋学报	2021-10-22 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliXyYd9Q031jO4lcwE3onPbS9Ccqj1OcoySMks21hzSDa-YHFEcqLqMH8mB9XW9RlhcXWtCgfHX-pBwZmwZn1HKe0VgUnbDrGMOJGobktmy4md2ioXL-WWiIJWOf8aT72PiQIAf-F8PrKHkoQdBjlqziXnJQXr_4Q8P0ojTcpa8ZgYzPT62U9bfE&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehbJB4egZGrQV9Sj9LEHrMRAARd-Hf2-03iOnaPrb0BR6ZxNjVO_XtjMX3BbfKvEVcWc3BVfGOU3iUJ9OUKKZhcRpA_fkEp0UdU=&uniplatform=NZKPT	许占堂、施震、谢栢成、廖健祖、杨跃忠、周雯、李彩、杨顶田				
2498	期刊	上海青草沙水库生态护坡区浮游植物的群落结构	申利亚	上海海洋大学学报	2021-10-21 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliXyYd9Q031jO4lcwE3onPbS9Ccqj1OcoySkecSI8Z2Uxj6audirvUOcqcj6y7-Vhb83t8Yx5s-g02s01ASupx3fhzO24zOaQub67XnHEovm09dy4i6CBNDsevxgIpq4_HvClHFkJi_Oe8_HaiydPy17Ass7Eec5yn_NLZwuIAXzvmwChib0ovNN&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehbJB4egZGrQV9Sj9LEHrMRAARd-Hf2-03iOnaPrb0BR6ZxNjVO_XtjMagxwAdZjAYdHNXPkpvjDA-rnrTtmXY77PFh51Lao7Ik=&uniplatform=NZKPT	申利亚、赵丹、马婕、牛文卉、陈立婧				
2499	期刊	广西武鸣盆地岩溶泉口浮游生物群落对水环境变化的响应	韦丽琼	湖泊科学	2021-10-20 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliXC4Ig1W8CYbRrZS7QKo9uKMD9Lyrdo1YqiVo-pq-tX55098K5jGBqpBep8oVYPpnfZ6GOtxMiox7YwF-VgzosBKwOxjDFG-sA_bHpL3K4JvON7ciHQnNCl65-q8hF4LYEJXQzs8Lxm_N-Z65l7ojDDjLLHSvB2EPTRCXcQkIC4yB6DzdGZ9_Tq&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjeha1JkSVJzAHDryx-XnYnJptHFANHZZMl1mV8Kfe15vfAn5xPzhI-TQ0YRlaXab1M-rSf8mV8pKiJVUPERTcDyhMNacgI22biWo=&uniplatform=NZKPT	韦丽琼、郭芳、姜光辉				
2500	期刊	琼东水体后向散射系数与浮游植物生物量的关系模型	周雯	热带海洋学报	2021-10-20 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliWEaVU6_Jc4RKkw12kRmMggv2tMsM-mFyFeWXDSyEGQ3MJBNRIVFmyn9vnxpLkdwizp6tSnJn85_pErOjVEuHu_dnYsHQr4rawXzQ5qwVE92jsP9sqdUTkXuBdJ7ZeBQle49q5X4Qd3LMZUljYHQtNXdJWbgB5uIbhw9tCyU3TGsorf-ylNtHQb&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehaUmWbuCIXG5CWj9aBxjyZKC14IQhphFPpgP66aZTiJQrRz3GRZU04jUnAoaGihdOhnRkgCc4YLpIRruZz8BsRDNdMvSd19xig=&uniplatform=NZKPT	周雯、魏盼盼、李彩、王桂芬、郑文迪、邓霖、赵红五一、余凌晖、曹文熙				
2501	期刊	鄱阳湖水体溶解无机碳的季节变化、输送及其来源	李艳红	湖泊科学	2021-10-18 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliX1I5RG4b9HnSWwQC3y-diGmkUCWVm1b6k4825WRSO1QxurytOooJnS81hHjCbL5JVx8D7uG__b4Dx-2AkLYTws9hE8wApGLuXajmHEhurBS1m0dLRDWpMwehTzUL65BTIZ0sKQbCTIObZW3Z8KFTHgJFplC0Uxy9JwCbf6hvYfLT294lZ49CsD&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehZG2I9ttZGG9wRXzOLesnU_ldQOXtKFFiWt2eSHuxcBsKcsbX6qkwKUjYciISr88NV9ROSAn5nTxGPe1YL9q2fw9po9ZR5EOy8=&uniplatform=NZKPT	李艳红、葛刚、胡春华				
2502	期刊	马鞍列岛东部海域小黄鱼时空分布特征	汪振华	水产学报	2021-10-15 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliX1I5RG4b9HnSWwQC3y-diGmkUCWVm1b6nr6BL6v6Mdn5DpT_pQSg-1l5iod0XmvJ5KRdq5rgt6PpqblWrVLToPFOJ5KQiWo8ttPYoJYip8gVW_JqPQMAXPrk5RQ6O9qYOjNrIrzpBisKVF1mM17o3MJvrr9lW9AhJ6obsPpL16VuVL_1lH0NDW&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehZG2I9ttZGG9wRXzOLesnU_ldQOXtKFFiWt2eSHuxcBsKcsbX6qkwKU4HE7j3AELNbWOLWdSdGjOFNVOceWZuGyH_rbge_sQPk=&uniplatform=NZKPT	汪振华、沈慧、林军、章守宇、钟佳明、陈奕帆、刘章彬				
2503	期刊	鄱阳湖丰水期氮素分布特征及其对藻类的影响	李艳红	水生态学杂志	2021-10-12 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliXx5fxVeiEkbJWB-xeyrmDKi5f42kpC_XQd6_lwnBTzSpH3EkuVY3pJAHixtPSBle7TAyaRbRYJiVUx7FvLiWH3F-6z8Aqpv_D3tvKFSX-wV6hxJfs9Ze8e3GTlRx_OHvlg-ZijDtp63aPUzRwX-XZkHNXumipBfUKZfGqyO9THQ-C9o7WisCn7&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehbaxXCRdpN6wkdfiv3106uTG-dJCDxkJ6LkizkMBZzCpcwi4LnDXpzZr5wEyw3Xr1Y4TYiPcAn9xCt4hD8aWooZgVd7sRfrkNo=&uniplatform=NZKPT	李艳红、王雪漫、徐珺恺、胡春华				
2504	期刊	互花米草入侵对黄河三角洲秋季底栖食物网的影响	姜少玉	应用生态学报	2021-10-08 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliXx5fxVeiEkbJWB-xeyrmDKi5f42kpC_XRUktNQ4qUzwlVA0gYUO0WlcuQihqy6HwvCCkNauGUy7JplIyYeJ9jJUQFjAz9oQq83AM7Qodfa_FELxLEOmYyM8bu-lCmJa7uyDFHAu0B6uvItV-_cGQ8gmzH1h0Aq7-Vnoyyu1JWsCyn0EDKxgONG&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehbaxXCRdpN6wkdfiv3106uTG-dJCDxkJ6LkizkMBZzCpcwi4LnDXpzZC-hckcZ6vRCV7e3rBgxugeu1fd1S-wUj8ePFY9PCgTg=&uniplatform=NZKPT	姜少玉、陈琳琳、闫朗、刘春云、彭子睿、张传鑫、李宝泉				
2505	期刊	基于水质综合指数法的亚热带水源型水库水质评价	叶焰中	水资源保护	2021-10-08 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliXJ-EJ62IV8QcacbbQMqr45n5mRuga8MdL5uykGemHy5uzMxtyhcP4e58RCjN9hc4sNMhFLqBapyReIJNNmUqcW93CfQfju7L37-KkbPWAcTchD2fvvnIyf_nS3PsJFTxUVfbD4euClxWeMYVrHyDhsGXuxMB1TJD2F96QkvIUR9xBFV5l23_4f&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehYTlpLeTtvxjn9ZOIwti98fx4iOGIWNinV_qlXsLShlrOl5cHHNtgyVqOZ2eU01oIsVALz3s4AVXSKuim_-7PG4UOZ7IyROP84=&uniplatform=NZKPT	叶焰中、陈凡、黄廷林				
2506	期刊	海洋地球工程的研究进展与相关国际法探析	李纪	海洋开发与管理	2021-10-07 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliXJ-EJ62IV8QcacbbQMqr45n5mRuga8MdLu1wGmHTyk3HLU2Na_ysit531ehqyC5XdjovpEOBOQbkIAJbmkx2tmggZ27r7BLt0wI9lzyLJZph40sGayNP7RGx921q01siH-2hhOguwo44VCmF-6IMapUvncRWLQeB8bvgeWo3sIVgoj6Qah6HS1&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehYTlpLeTtvxjn9ZOIwti98fx4iOGIWNinV_qlXsLShlrOl5cHHNtgyV1PpILXJg9_ag6WQQqLHEAXKiHtI63vFavHQ6CSHPt-s=&uniplatform=NZKPT	李纪、王莹、何柳、陈荣、高咏卉				
2507	期刊	小清河专项治理对莱州湾环境和浮游植物的影响	张晶晶	环境科学	2021-09-29 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliUPAwlwYZfF2nUsVIVmh9BNKnnVcUz0Djo4E6Dxw1sfhfiycqEXex1gcjRtxZcwXYfSz2yoOS49bvE3WP2NWi-qvifuwW55szPTm_5B54yfzWS0yZOR63L3ekQ9ns0s4dMunuHnKFk5QB3EmBm1pVmELEvCKSHodetWeFuliZLAeurxSgsdeVvS&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehZm8ThPKBvc2yaP3B7cc2P1E4S97V4BkdN3MIDhayjGvhlNdl4wPBQoh6VIEwbdy4U31uJLXaatbZzd0iXwuzsuAfWrzpJxb9g=&uniplatform=NZKPT	张晶晶、王玉珏、李凡、刘珂、王英、于洋、高彦洁、肖晓彤、吕振波				
2508	期刊	海洋酸化与升温对浮游植物种群的影响研究综述	冯媛媛	天津科技大学学报	2021-09-29 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliUPAwlwYZfF2nUsVIVmh9BNKnnVcUz0Djqy2Z6hDvufp31F_f3g1qAQRcB1BOENFL7-J3yipR-6eM7jWcBdaUYcw1PkxKFJInYNttQzobw7SirG8XEskkdJLwqpLr3R5VTSnX1w3Ga5TeWPFzuScFN4f9Xhv2OrDPMiIuwmbXvrXtYHBc4nADqA&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehZm8ThPKBvc2yaP3B7cc2P1E4S97V4BkdN3MIDhayjGvhlNdl4wPBQoh0Vup5RnnF9tDgjn92iVUghalIRaZnn-mLKcKAoplpk=&uniplatform=NZKPT	冯媛媛、王建才、蔡婷				
2509	期刊	南水北调东线工程运行3年后东平湖浮游植物群落特征及环境驱动因子	董贯仓	湖泊科学	2021-09-23 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliVkHngx_6SjeZMzxPWbBRdB5lgfw0h0Tea4E9X3HV9SG7WFntn_dbHc084qZ40GVYNIkhHuUT9QRI39bcFFclz1HgAnykjQrgJYUDWiCVGxgfP1maAG3FRe7ar9-WS-iLdSeCsWXCpP2rTIt-Ru1JFvPRi296DxHJ8NNIMhxylcGLh6vklVPr4E&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehY5YEZTi8zSIydJPM6mqfBE3tDSXyqw12x8wd99LFwGzU06eM4DuXZCaSY6kke2IrR-nLjy7izP9ymlDgQcdr4hegpw6Jjs1hw=&uniplatform=NZKPT	董贯仓、冷春梅、丛旭日、刘超、朱士文、孙鲁峰、高云芳、客涵、李秀启				
2510	期刊	筑坝渠化河流氮磷迁移特征及其对富营养化的响应	鲍林林	生态学杂志	2021-09-15 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliVkHngx_6SjeZMzxPWbBRdB5lgfw0h0TeaxLdju65G5vjEY7SpEbAHTNwsyHS4ZBiswEwnkZFD2ooV4WnxP7wSIaor0sJSr38OLsLgqaVSe0KW4j1oBBUpbkr5s9u0SqjDQorX43AGTDRI5egY8WW5ucgma7m_ifQS66KAArf7vy1fjouUmkfQM&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehY5YEZTi8zSIydJPM6mqfBE3tDSXyqw12x8wd99LFwGzU06eM4DuXZC1TlgE8LxHq4boIaLyu4gFwWxHTjLDzBthtMiedunQf0=&uniplatform=NZKPT	鲍林林、钱骏、佟洪金、陈杰、纪昱彤、辜昊				
2511	期刊	太阳山湖群叶绿素a变化及与总氮、总磷关系	王世强	环境科学与技术	2021-09-15	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliWe9Y0rR5kL8WHuUGbPHYqXEF0Eo0wRgxNkVXvFgmCA_v146aA6QZYVz9ZcNWkBYcgBQsZPL9BZTjLVf12zfO755HD3UyTqJBvoAOCYMytdI5Fcjj_ks3tirAYjzOOo0Qb2-V6cin9jkyOSNlZ86dQi1TndWgmK_UtPV0AbQyKof3f6dq5libX7&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehbfwnnajFT2HUCrqHX8TbXjpeAG4dKXH2zQe88_-4dFfo0NK8ZUtjDaaLVI95c1uSUAwQQnihGauZyxVM1ZukeOaOMdZdzE9ok=&uniplatform=NZKPT	王世强、郭琦、邱小琮、孙旭杨、欧阳虹、赵增锋				
2512	期刊	南海中西部叶绿素时空变化特征分析	陈莹	海洋学研究	2021-09-15	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliWe9Y0rR5kL8WHuUGbPHYqXEF0Eo0wRgxMGMEmKBuqjSQ1UFSvBDuQn7gUnonGgUSbjWmqsmnGuDxplH2-l0InrU8pUTPjhc8ag04MzJcORcIbw_Scfv_qxyvWeTzPBmMr0yI1YLDmZBk6z1amWV86Jf0d77f2k7OsyG-yPaiDbUTySqO8EPxZ-&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehbfwnnajFT2HUCrqHX8TbXjpeAG4dKXH2zQe88_-4dFfo0NK8ZUtjDaAWSlxvq2poyUzSgav5Q0qbEeWBiWP2m3joelGDuncBI=&uniplatform=NZKPT	陈莹、赵辉				
2513	期刊	渤海兴城-觉华岛海域海草床典型生物群落特征及其关键环境因子识别	张兆衡	北京师范大学学报(自然科学版)	2021-09-14 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliVHOFAW22Aew4__dvpp512x1Xh0yj3J2S0z5hI7ERtwVPOPqOrECDC-O4sL2UPcLNn2uj5dDMvP-ri7efoQLNrQHOsr0rWaSG80swqLo1BVxlSXtWz9fZVPEua53cwi3Lg74xmxpRPVQ8BTrJPHVHY4P6PAMpG9QEUROVlk5BPxbSCE-nuztv2m&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehZOZIrCm97FlJf7eObcFv4FlbUovE7vPCRQ31bISAeHk6xZliaXjXc9W2SgmZ-IEmSZ_8_LDBuIAtAGj3gs2OiFUNzr_5EfmHY=&uniplatform=NZKPT	张兆衡、杨薇、张子玥、孙涛、刘海飞				
2514	期刊	基于环境DNA宏条形码技术的秦淮河生物多样性研究	王晨	生态学报	2021-09-10 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliVHOFAW22Aew4__dvpp512x1Xh0yj3J2S3U9cHUnbZoylbCdUTkvfiYPHKvmGBwt4k70Tmh4Jq1OouxgjM3Nw3mqBFjtWR9N39JR6w6-Wz500RA51WGd4YA8S7z8eEO0MDVsOGkf9rJ1HRR6MpzeC2-6WvUFNojALVEgvy-4p3s44DCEB1TUkYP&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehZOZIrCm97FlJf7eObcFv4FlbUovE7vPCRQ31bISAeHk6xZliaXjXc9yKVe8MbJCLezWCRzkMzZBl82GouZWPtVff9CT3lnlq0=&uniplatform=NZKPT	王晨、陶孟、李爱民、施鹏、杨江华、王志浩、张效伟				
2515	期刊	食物与桡足类营养级对亚热带分层水库浮游动物群落结构的影响	陈辉煌	湖泊科学	2021-09-08 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliXyC-Zx-MIWAdo9FAHJyc9wzXzkq84nJqO4YViFww_McmAXWe6_pbkL1Tcub_mYNek2JTw2gL5B_tpnw88PSylbtXOUtzARhveN4TRQ2cvfsR0sxKGiL-oyM4eg0jwcwjzFMLaLwITKKhqwl8FhbgQcm4Ccy0bHSV5qv1JUwOMAC2rQGp-b4Q-N&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehaEOvZtw-9EeZbS1bFbw27EwHco3O6hk9lfuzIoUlvIps2y3GYHBmDTzFfbPdNMz496lZ7nhMCp9C8Z_8ThXFOdvVjD3YujUXk=&uniplatform=NZKPT	陈辉煌、王文平、薛媛媛、高肖飞、金磊、杨军				
2516	期刊	棉花滩水库浮游植物群落结构演替特征及风险预警研究	崔玉洁	中国农村水利水电	2021-09-07 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliXyC-Zx-MIWAdo9FAHJyc9wzXzkq84nJqOOuBnCWk3_nENTVZONIH_Ib6thWm1eIx5oyvn-MBqFlktpNDLuhaOCfpaHdZrk32KywHrOTeqweRYjcFVxgXru1eDYZAFvyfDBwpeeMXzTLqCdu2SejK9DBRTT-lUv2f5BvN91bdWmYYfjTOImar9c&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehaEOvZtw-9EeZbS1bFbw27EwHco3O6hk9lfuzIoUlvIps2y3GYHBmDTT1Vbujj6gWFHCmOVX7nFqJedUB4K7Y8T0OOgdALomQc=&uniplatform=NZKPT	崔玉洁、杨友德、郑婉婷、成再强、陈天生、林晓芳				
2517	期刊	太原汾河景区浮游生物群落特征及影响因素	冯佳	山西大学学报(自然科学版)	2021-09-03 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliXqGuQm3aBhlP6oHmCWzJotAkKTGNPVaKuLVBmSvqIHQiHNvdMZNHDyeNeCbuXLEbjOy6IZMGPzoaxFBpUarzQ7g0IylpF7SR7c9rjml_hJ9K7iaxu5pBQ-cgahmqR8AJwbNdwke5_5oDKVHusX8oH6Xii1ZEZ0qIUVu-VZd9zcDNLaVFzygb8A&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehbbL_p0LcQUAvmbyRlVl4wtQkmWXV8ByDevDh--GFZGo9-0kO9BimheJ9YIQOTYbn-GBZqAY-UPoBgv-a_S82kB2kwySXYEATQ=&uniplatform=NZKPT	冯佳、裴海光、王飞、杨静、张蕾、谢树莲				
2518	期刊	水上光伏电站对淮南采煤沉陷积水区水生态环境的影响	宋鑫	水资源保护	2021-09-01 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliXqGuQm3aBhlP6oHmCWzJotAkKTGNPVaKt8GoF3j7jqllwKpuPzV6_VEykip8Kfwyum6-mgkA6Luljqi4VwPei8iyEZZ0urYLYjvfx2nxNre2goJml2Igx9mCh4unJLgMss9k7YE4mFuwSH5ZNMYrExSu6tH64UTYkkR2GOLXwsI7HhMmbWb_DO&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehbbL_p0LcQUAvmbyRlVl4wtQkmWXV8ByDevDh--GFZGo9-0kO9Bimhebe-9X7Cb344fqLkvcvkbdPtkcAYEyaRLd0ylRCzXzzo=&uniplatform=NZKPT	宋鑫、贝耀平、袁丙青、曹冬梅、谭红兵				
2519	期刊	不同水质调控方式对刺参养殖池沉降颗粒中碳氮磷沉降通量影响的季节变化	杨耿介	水产学杂志	2021-08-30 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliW37t18Cu-Ml2pV3KI5u9Ab8XInCcSerMhJLwLr5z2fwLun70q7fN3C1vj7k4ZVHmSSaU_weem2K-bbAzq7NKdoBAlDi2n3BpLwLrZMKwWhcNOOH_SOLOBX7MVQotqcccgsNjuq-QF57YCz026pjOn1VPWH1UNHOmck_Rw66VkWnlApJjhtja95&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehbm7QU9b_4IZl1KXIHd1WaK07kezqi-zh1162ytiMQKRNm1U3KeQMH5dG0j-TjNbD7rJ-8qPoqgrtQY3vRmgrD5EQYtjWUv6gQ=&uniplatform=NZKPT	杨耿介、王文琳、杨申、李乐洲、王玉龙、周玮				
